Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
pe,as65112-1,Ethernet1,pe,as65112-2,Ethernet1,True
pe,as65112-1,Ethernet2,pe,as65112-3,Ethernet1,True
pe,as65112-1,Ethernet3,other,CORE1,Ethernet5,True
pe,as65112-1,Ethernet4,other,CORE2,Ethernet25,True
pe,as65112-2,Ethernet1,pe,as65112-1,Ethernet1,True
pe,as65112-2,Ethernet2,pe,as65112-3,Ethernet2,True
pe,as65112-2,Ethernet3,other,CORE2,Ethernet5,True
pe,as65112-2,Ethernet4,other,CORE1,Ethernet25,True
pe,as65112-3,Ethernet1,pe,as65112-1,Ethernet2,True
pe,as65112-3,Ethernet2,pe,as65112-2,Ethernet2,True
pe,as65112-3,Ethernet3,other,as65112-cust,Ethernet1,True
pe,as65112-3,Ethernet4,other,IXP,Ethernet6,True
p,as65212-cust,Ethernet1,pe,as65112-3,Ethernet3,True
p,as65212-cust,Ethernet2,other,IXP,Ethernet1,True
